key_resp.corr,key_resp.rt,,,,seqRT,ranRT
1,0.23509432,,,,0.23509432,0.75108606
1,0.193195605,,,,0.193195605,0.741705338
1,0.18752318,,,,0.18752318,0.639096805
1,0.56195048,,,,0.56195048,1.074842005
1,0.303008742,,,,0.303008742,0.73650805
1,0.220505085,,,,0.220505085,0.39454198
1,0.268513288,,,,0.268513288,0.510416246
1,0.259709585,,,,0.259709585,0.679031927
1,0.218279976,,,,0.218279976,0.636904068
1,0.235352165,,,,0.235352165,1.090295159
1,0.252211431,,,,0.252211431,0.494734629
1,0.235365643,,,,0.235365643,0.627247032
1,0.27894409,,,,0.27894409,0.53094872
1,0.234894386,,,,0.234894386,
1,0.358138555,,,,0.274422346,0.702844325
1,0.586905897,,,,,
1,0.658633569,,,,,
1,0.535954775,,,,,
1,0.536623108,,,,,
1,0.773551838,,,,,
1,0.354838101,,,,,
1,0.445000077,,,,,
1,0.752037237,,,,,
1,0.450985946,,,,,
1,0.526637069,,,,,
1,0.569573153,,,,,
1,0.743514536,,,,,
1,0.778226432,,,,,
1,0.508712795,,,,,
1,0.523363557,,,,,
1,0.494290665,,,,,
1,1.171116935,,,,,
1,0.561610711,,,,,
1,0.856964241,,,,,
1,0.67812257,,,,,
1,0.835765392,,,,,
1,0.855684725,,,,,
1,0.570273847,,,,,
1,0.526903628,,,,,
1,0.601802811,,,,,
1,0.906077402,,,,,
1,0.786646633,,,,,
1,0.878560863,,,,,
1,0.71124766,,,,,
1,0.755514557,,,,,
1,0.363675704,,,,,
1,0.459827562,,,,,
1,0.567199191,,,,,
1,0.469188974,,,,,
1,0.883240797,,,,,
1,0.393614963,,,,,
1,0.767967385,,,,,
1,0.747013854,,,,,
1,0.64355889,,,,,
1,0.670299376,,,,,
1,0.770085175,,,,,
1,0.630463629,,,,,
1,0.536903142,,,,,
1,0.546291124,,,,,
1,0.65248669,,,,,
1,0.586135278,,,,,
1,0.789890021,,,,,
1,0.981987408,,,,,
1,1.053272236,,,,,
1,0.838457038,,,,,
1,0.960214342,,,,,
1,0.770177749,,,,,
1,0.601730622,,,,,
1,0.669842509,,,,,
1,0.847862716,,,,,
1,0.61268062,,,,,
1,0.704256908,,,,,
1,0.727523055,,,,,
1,0.747948669,,,,,
1,0.886854118,,,,,
1,1.1986369,,,,,
1,0.881003392,,,,,
1,0.904428012,,,,,
1,0.56149702,,,,,
1,0.52020434,,,,,
1,0.672122688,,,,,
1,1.195255027,,,,,
1,0.88838964,,,,,
1,0.774397251,,,,,
1,0.73165538,,,,,
1,0.51978867,,,,,
1,1.225120271,,,,,
1,0.877961094,,,,,
1,0.80105995,,,,,
1,0.540827158,,,,,
1,0.466680384,,,,,
1,0.997865945,,,,,
1,0.864205758,,,,,
1,0.561237387,,,,,
1,0.955176083,,,,,
1,0.55141149,,,,,
1,0.75108606,,,,,
1,0.741705338,,,,,
1,0.639096805,,,,,
1,1.074842005,,,,,
1,0.73650805,,,,,
1,0.39454198,,,,,
1,0.510416246,,,,,
1,0.679031927,,,,,
1,0.636904068,,,,,
1,1.090295159,,,,,
1,0.494734629,,,,,
1,0.627247032,,,,,
1,0.53094872,,,,,
