pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,9,0,36,0,,,,,108.32565660995897,109.31168898299802,109.31168898299802,109.31168898299802,109.31168898299802,109.32883159897756,110.31426280899905,110.31426280899905,x,1,0.21986628300510347,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,9,1,37,1,,,,,110.58175971900346,111.5679703669739,111.5679703669739,111.5679703669739,111.5679703669739,111.5844314689748,112.57042533200001,112.57042533200001,v,1,0.26142940908903256,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,9,2,38,2,,,,,112.85448208497837,113.84078984899679,113.84078984899679,113.84078984899679,113.84078984899679,113.8575748669682,114.84360526199453,114.84360526199453,c,1,0.25948578701354563,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,9,3,39,3,,,,,115.12709600297967,116.11375724896789,116.11375724896789,116.11375724896789,116.11375724896789,116.13040614395868,117.11638537299586,117.11638537299586,z,1,0.2544346380745992,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,10,0,40,0,,,,,117.3999847509549,118.38602705695666,118.38602705695666,118.38602705695666,118.38602705695666,118.40274722396862,119.38883428397821,119.38883428397821,x,1,0.19507925200741738,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,10,1,41,1,,,,,119.60562739998568,120.59195485798409,120.59195485798409,120.59195485798409,120.59195485798409,120.60866301198257,121.59431316197151,121.59431316197151,v,1,0.24633736704709008,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,10,2,42,2,,,,,121.86164292198373,122.84782519296277,122.84782519296277,122.84782519296277,122.84782519296277,122.8647368469974,123.85045723197982,123.85045723197982,c,1,0.8399070560117252,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,10,3,43,3,,,,,124.71937625500141,125.70549109898275,125.70549109898275,125.70549109898275,125.70549109898275,125.72210068698041,126.70828283700394,126.70828283700394,z,1,0.14451015507802367,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,11,0,44,0,,,,,126.8752943679574,127.8612394509837,127.8612394509837,127.8612394509837,127.8612394509837,127.8779202819569,128.86356067395536,128.86356067395536,x,1,0.3269799370318651,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,11,1,45,1,,,,,129.21443470497616,130.20072237896966,130.20072237896966,130.20072237896966,130.20072237896966,130.2176305349567,131.2035950269783,131.2035950269783,v,1,0.3351274289889261,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
